angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"[547, 200, 269, 322]",0.0,0.02,0.0,0.8,0.15,0.0
0.04,"[546, 202, 269, 322]",0.0,0.04,0.0,0.64,0.28,0.0
0.04,"[546, 201, 269, 323]",0.0,0.03,0.0,0.69,0.24,0.0
0.02,"[553, 203, 260, 311]",0.0,0.02,0.0,0.79,0.16,0.0
0.02,"[552, 206, 263, 326]",0.0,0.03,0.0,0.71,0.24,0.0
0.02,"[554, 204, 259, 312]",0.0,0.04,0.0,0.73,0.21,0.0
0.05,"[544, 198, 273, 327]",0.0,0.04,0.0,0.65,0.26,0.0
0.02,"[553, 205, 261, 312]",0.0,0.04,0.0,0.71,0.23,0.0
0.01,"[553, 207, 264, 325]",0.0,0.02,0.0,0.77,0.2,0.0
0.02,"[552, 206, 264, 325]",0.0,0.03,0.0,0.71,0.24,0.0
0.02,"[553, 203, 260, 313]",0.0,0.04,0.0,0.7,0.24,0.0
0.04,"[544, 199, 272, 326]",0.0,0.03,0.0,0.67,0.26,0.0
0.02,"[552, 205, 260, 310]",0.0,0.05,0.0,0.71,0.22,0.0
0.03,"[554, 203, 259, 312]",0.0,0.03,0.0,0.74,0.19,0.0
0.05,"[547, 202, 269, 322]",0.0,0.04,0.0,0.6,0.3,0.0
0.02,"[554, 204, 261, 316]",0.0,0.04,0.0,0.74,0.2,0.0
0.02,"[552, 206, 264, 325]",0.0,0.03,0.0,0.73,0.22,0.0
0.02,"[553, 207, 263, 322]",0.0,0.03,0.0,0.67,0.29,0.0
0.02,"[553, 207, 263, 323]",0.0,0.03,0.0,0.64,0.31,0.0
0.02,"[552, 206, 263, 325]",0.0,0.02,0.0,0.7,0.26,0.0
0.04,"[554, 203, 260, 310]",0.0,0.05,0.0,0.7,0.21,0.0
0.05,"[548, 202, 268, 322]",0.0,0.04,0.0,0.59,0.32,0.0
0.06,"[546, 202, 269, 323]",0.0,0.03,0.0,0.63,0.28,0.0
0.04,"[547, 202, 269, 322]",0.0,0.03,0.0,0.67,0.26,0.0
0.04,"[545, 200, 270, 324]",0.0,0.02,0.0,0.75,0.2,0.0
0.04,"[546, 201, 271, 323]",0.0,0.02,0.0,0.77,0.17,0.0
0.04,"[545, 202, 270, 322]",0.0,0.03,0.0,0.71,0.22,0.0
0.05,"[546, 199, 271, 325]",0.0,0.04,0.0,0.71,0.21,0.0
0.05,"[546, 200, 270, 324]",0.0,0.03,0.0,0.68,0.24,0.0
0.03,"[546, 201, 269, 322]",0.0,0.03,0.0,0.74,0.2,0.0
0.01,"[552, 208, 263, 324]",0.0,0.02,0.0,0.77,0.2,0.0
0.02,"[546, 200, 269, 324]",0.0,0.02,0.0,0.88,0.09,0.0
0.01,"[546, 198, 269, 323]",0.0,0.01,0.01,0.95,0.03,0.0
0.0,"[552, 201, 265, 329]",0.0,0.0,0.2,0.78,0.02,0.0
0.0,"[548, 202, 266, 317]",0.0,0.0,0.55,0.44,0.01,0.01
0.0,"[553, 204, 261, 322]",0.0,0.0,0.52,0.46,0.01,0.0
0.0,"[548, 204, 266, 313]",0.0,0.0,0.91,0.09,0.0,0.0
0.0,"[555, 205, 261, 317]",0.0,0.0,0.62,0.36,0.01,0.0
0.0,"[562, 211, 254, 308]",0.0,0.0,0.7,0.28,0.02,0.0
0.0,"[548, 202, 267, 315]",0.0,0.0,0.89,0.1,0.0,0.01
0.0,"[548, 204, 266, 314]",0.0,0.0,0.83,0.16,0.0,0.0
0.0,"[547, 203, 267, 315]",0.0,0.0,0.9,0.09,0.0,0.0
0.0,"[548, 201, 266, 315]",0.0,0.0,0.88,0.11,0.0,0.01
0.0,"[549, 203, 265, 313]",0.0,0.0,0.87,0.12,0.0,0.0
0.0,"[548, 200, 268, 317]",0.0,0.0,0.87,0.12,0.0,0.01
0.0,"[549, 201, 266, 315]",0.0,0.0,0.86,0.13,0.0,0.01
0.0,"[548, 203, 266, 314]",0.0,0.0,0.88,0.12,0.0,0.0
0.0,"[548, 203, 266, 315]",0.0,0.0,0.83,0.15,0.01,0.01
0.0,"[547, 203, 268, 315]",0.0,0.0,0.82,0.17,0.0,0.01
0.0,"[547, 201, 267, 317]",0.0,0.0,0.87,0.12,0.0,0.01
0.0,"[547, 203, 268, 316]",0.0,0.0,0.64,0.35,0.01,0.0
0.0,"[563, 208, 250, 304]",0.0,0.0,0.93,0.06,0.0,0.01
0.0,"[565, 209, 249, 302]",0.0,0.0,0.91,0.08,0.01,0.0
0.0,"[568, 210, 245, 296]",0.0,0.0,0.96,0.04,0.0,0.0
0.0,"[560, 207, 249, 302]",0.0,0.0,0.97,0.03,0.0,0.0
0.0,"[551, 194, 261, 318]",0.0,0.0,0.97,0.03,0.0,0.0
0.0,"[551, 192, 263, 317]",0.0,0.0,0.96,0.04,0.0,0.0
0.0,"[554, 193, 260, 312]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[547, 180, 273, 335]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[543, 177, 278, 344]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[552, 190, 268, 330]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 188, 266, 333]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[553, 187, 268, 338]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[544, 180, 277, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[554, 186, 268, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[554, 186, 267, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[554, 188, 267, 339]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[554, 187, 269, 341]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[553, 187, 268, 341]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[554, 187, 267, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[555, 188, 268, 342]",0.0,0.0,0.98,0.0,0.01,0.01
0.0,"[555, 188, 268, 341]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[555, 190, 269, 342]",0.0,0.01,0.95,0.0,0.02,0.02
0.03,"[543, 183, 275, 361]",0.0,0.01,0.86,0.0,0.01,0.1
0.02,"[544, 183, 273, 361]",0.0,0.0,0.9,0.0,0.0,0.07
0.02,"[542, 182, 274, 362]",0.0,0.0,0.89,0.0,0.0,0.09
0.04,"[544, 180, 276, 365]",0.0,0.01,0.86,0.0,0.01,0.09
0.01,"[553, 188, 266, 342]",0.0,0.01,0.93,0.0,0.02,0.04
0.05,"[544, 178, 275, 368]",0.0,0.01,0.83,0.0,0.01,0.09
0.04,"[543, 179, 275, 367]",0.0,0.01,0.82,0.0,0.01,0.13
0.07,"[544, 180, 276, 366]",0.0,0.01,0.75,0.0,0.01,0.15
0.07,"[544, 179, 276, 367]",0.0,0.02,0.76,0.0,0.01,0.13
0.02,"[555, 189, 267, 342]",0.0,0.01,0.88,0.0,0.02,0.07
0.01,"[555, 189, 266, 342]",0.0,0.01,0.93,0.0,0.01,0.04
0.03,"[555, 188, 267, 342]",0.0,0.01,0.88,0.0,0.03,0.05
0.01,"[555, 190, 264, 339]",0.0,0.01,0.92,0.0,0.02,0.04
0.01,"[554, 188, 265, 344]",0.0,0.01,0.9,0.0,0.02,0.05
0.02,"[555, 188, 265, 342]",0.0,0.01,0.87,0.0,0.04,0.05
0.04,"[555, 188, 265, 343]",0.0,0.02,0.83,0.0,0.05,0.06
0.24,"[555, 189, 266, 344]",0.0,0.06,0.55,0.01,0.06,0.09
0.43,"[555, 191, 265, 341]",0.0,0.18,0.16,0.01,0.09,0.13
0.7,"[555, 194, 265, 340]",0.01,0.17,0.01,0.01,0.08,0.04
0.62,"[551, 196, 268, 338]",0.01,0.19,0.0,0.02,0.1,0.05
0.42,"[556, 203, 261, 327]",0.01,0.25,0.0,0.08,0.15,0.09
0.14,"[557, 206, 257, 319]",0.02,0.16,0.0,0.43,0.2,0.05
0.01,"[559, 207, 256, 310]",0.0,0.04,0.0,0.76,0.19,0.0
0.01,"[561, 207, 254, 304]",0.0,0.04,0.0,0.7,0.26,0.0
0.02,"[553, 203, 261, 313]",0.0,0.03,0.0,0.73,0.21,0.0
0.02,"[553, 202, 263, 315]",0.0,0.03,0.0,0.75,0.2,0.0
0.04,"[555, 203, 262, 315]",0.0,0.05,0.0,0.53,0.38,0.0
0.05,"[555, 204, 261, 311]",0.0,0.06,0.0,0.56,0.33,0.0
0.09,"[552, 197, 263, 319]",0.0,0.06,0.0,0.53,0.33,0.0
0.09,"[554, 205, 261, 310]",0.0,0.12,0.0,0.43,0.36,0.0
0.09,"[553, 205, 262, 311]",0.0,0.13,0.0,0.4,0.37,0.0
0.11,"[554, 205, 261, 311]",0.0,0.16,0.0,0.38,0.35,0.0
0.1,"[553, 205, 261, 312]",0.0,0.16,0.0,0.38,0.36,0.0
0.13,"[552, 199, 264, 318]",0.0,0.14,0.0,0.41,0.31,0.0
0.11,"[554, 204, 262, 315]",0.0,0.14,0.0,0.43,0.32,0.0
0.23,"[564, 209, 250, 297]",0.0,0.22,0.0,0.14,0.4,0.0
0.1,"[553, 204, 263, 315]",0.0,0.15,0.0,0.4,0.34,0.0
0.1,"[553, 200, 263, 317]",0.0,0.14,0.0,0.51,0.25,0.0
0.11,"[552, 200, 264, 316]",0.0,0.12,0.0,0.49,0.29,0.0
0.13,"[552, 200, 264, 318]",0.0,0.14,0.0,0.42,0.31,0.0
0.12,"[552, 199, 264, 320]",0.0,0.17,0.0,0.44,0.26,0.0
0.1,"[552, 199, 265, 321]",0.0,0.16,0.0,0.49,0.24,0.0
0.12,"[553, 199, 263, 319]",0.0,0.12,0.0,0.48,0.28,0.0
0.11,"[552, 201, 264, 318]",0.0,0.14,0.0,0.48,0.27,0.0
0.1,"[552, 200, 265, 320]",0.0,0.14,0.0,0.48,0.29,0.0
0.09,"[552, 199, 266, 321]",0.0,0.12,0.0,0.51,0.29,0.0
0.06,"[553, 200, 264, 319]",0.0,0.1,0.0,0.51,0.33,0.0
0.06,"[553, 200, 265, 318]",0.0,0.07,0.0,0.56,0.31,0.0
0.03,"[553, 200, 263, 319]",0.0,0.04,0.0,0.65,0.27,0.0
