,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
0,"[138, -246, 313, 445]",0.02,0.01,0.2,0.04,0.62,0.05,0.07,0.0
1,"[157, -245, 314, 456]",0.03,0.01,0.16,0.01,0.63,0.04,0.11,0.03333458571285442
2,"[189, -231, 313, 448]",0.04,0.01,0.23,0.01,0.56,0.02,0.12,0.06666917142570884
3,"[198, -196, 303, 427]",0.02,0.0,0.19,0.0,0.65,0.01,0.12,0.10000375713856327
4,"[215, -180, 296, 417]",0.03,0.0,0.13,0.0,0.76,0.0,0.08,0.13333834285141768
5,"[202, -216, 316, 451]",0.04,0.0,0.18,0.0,0.72,0.01,0.05,0.1666729285642721
6,"[229, -139, 288, 399]",0.03,0.0,0.22,0.0,0.63,0.0,0.12,0.20000751427712654
7,"[230, -126, 289, 403]",0.04,0.0,0.16,0.0,0.43,0.0,0.37,0.23334209998998096
8,"[233, -115, 292, 406]",0.07,0.0,0.06,0.0,0.26,0.0,0.59,0.26667668570283537
9,"[255, -70, 277, 369]",0.06,0.0,0.06,0.0,0.16,0.0,0.71,0.3000112714156898
10,"[251, -90, 287, 393]",0.13,0.0,0.09,0.0,0.3,0.0,0.48,0.3333458571285442
11,"[256, -78, 281, 386]",0.11,0.0,0.08,0.0,0.34,0.0,0.46,0.3666804428413986
12,"[257, -63, 279, 375]",0.1,0.0,0.1,0.0,0.3,0.0,0.5,0.4000150285542531
13,"[262, -64, 277, 375]",0.15,0.0,0.08,0.0,0.17,0.0,0.6,0.4333496142671075
14,"[267, -56, 274, 374]",0.12,0.0,0.07,0.0,0.22,0.0,0.59,0.4666841999799619
15,"[275, -49, 272, 369]",0.1,0.0,0.07,0.0,0.19,0.0,0.65,0.5000187856928163
16,"[279, -44, 271, 368]",0.08,0.0,0.08,0.0,0.22,0.0,0.62,0.5333533714056707
17,"[289, -26, 265, 357]",0.08,0.0,0.12,0.0,0.25,0.0,0.56,0.5666879571185252
18,"[291, -18, 274, 357]",0.12,0.0,0.08,0.0,0.21,0.0,0.6,0.6000225428313796
19,"[299, -24, 270, 364]",0.1,0.0,0.08,0.0,0.24,0.0,0.57,0.633357128544234
20,"[307, -20, 268, 365]",0.06,0.0,0.14,0.0,0.36,0.0,0.45,0.6666917142570884
21,"[314, -11, 266, 364]",0.03,0.0,0.1,0.0,0.44,0.0,0.43,0.7000262999699428
22,"[320, -5, 268, 354]",0.05,0.0,0.14,0.02,0.52,0.0,0.25,0.7333608856827972
23,"[335, 10, 275, 355]",0.01,0.0,0.05,0.0,0.15,0.0,0.78,0.7666954713956516
24,"[361, 18, 268, 362]",0.01,0.0,0.13,0.0,0.17,0.0,0.69,0.8000300571085062
25,"[371, 22, 267, 361]",0.01,0.0,0.13,0.0,0.25,0.0,0.6,0.8333646428213606
26,"[383, 31, 268, 355]",0.02,0.0,0.12,0.0,0.19,0.0,0.67,0.866699228534215
27,"[400, 20, 267, 362]",0.02,0.0,0.06,0.0,0.21,0.0,0.71,0.9000338142470694
28,"[409, 24, 267, 363]",0.03,0.0,0.07,0.0,0.21,0.0,0.69,0.9333683999599238
29,"[423, 25, 264, 353]",0.01,0.0,0.05,0.0,0.13,0.0,0.79,0.9667029856727782
30,"[425, 24, 269, 359]",0.01,0.0,0.08,0.0,0.21,0.0,0.7,1.0000375713856327
31,"[439, 26, 271, 359]",0.01,0.0,0.13,0.0,0.19,0.0,0.66,1.033372157098487
32,"[454, 20, 272, 357]",0.01,0.0,0.12,0.0,0.15,0.0,0.72,1.0667067428113415
33,"[463, 19, 275, 364]",0.0,0.0,0.05,0.01,0.09,0.0,0.85,1.100041328524196
34,"[477, 22, 274, 364]",0.01,0.0,0.11,0.01,0.2,0.0,0.68,1.1333759142370503
