,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
0,"[-71, 69, 241, 289]",0.04,0.0,0.01,0.86,0.04,0.0,0.05,0.0
1,"[-7, 32, 237, 303]",0.03,0.0,0.02,0.83,0.06,0.0,0.05,0.03333442479807902
2,"[53, 12, 219, 278]",0.01,0.0,0.01,0.94,0.02,0.0,0.02,0.06666884959615804
3,"[58, -22, 247, 315]",0.0,0.0,0.01,0.94,0.02,0.0,0.03,0.10000327439423706
4,"[108, -48, 235, 308]",0.02,0.0,0.02,0.81,0.08,0.0,0.08,0.13333769919231608
5,"[108, -101, 280, 365]",0.01,0.0,0.02,0.85,0.08,0.0,0.03,0.1666721239903951
6,"[311, -99, 243, 309]",0.03,0.0,0.04,0.36,0.45,0.0,0.11,0.20000654878847413
7,"[335, -87, 238, 299]",0.02,0.01,0.04,0.23,0.53,0.0,0.16,0.23334097358655315
8,"[346, -86, 251, 315]",0.01,0.0,0.03,0.47,0.33,0.0,0.16,0.26667539838463217
9,"[361, -65, 246, 305]",0.0,0.01,0.02,0.52,0.24,0.0,0.2,0.3000098231827112
10,"[382, -51, 234, 291]",0.0,0.0,0.02,0.49,0.19,0.0,0.3,0.3333442479807902
11,"[404, -43, 229, 288]",0.0,0.0,0.01,0.74,0.1,0.0,0.14,0.36667867277886923
12,"[415, -39, 231, 288]",0.0,0.0,0.02,0.49,0.16,0.0,0.32,0.40001309757694825
13,"[404, -55, 262, 338]",0.01,0.0,0.01,0.64,0.14,0.0,0.19,0.43334752237502727
14,"[443, -33, 229, 290]",0.0,0.0,0.01,0.74,0.06,0.0,0.19,0.4666819471731063
15,"[456, -31, 223, 292]",0.0,0.0,0.02,0.46,0.15,0.0,0.37,0.5000163719711853
16,"[466, -31, 224, 299]",0.0,0.0,0.02,0.23,0.16,0.0,0.59,0.5333507967692643
17,"[441, -31, 253, 332]",0.03,0.0,0.05,0.14,0.45,0.01,0.31,0.5666852215673434
18,"[455, -13, 236, 291]",0.0,0.0,0.03,0.37,0.13,0.0,0.47,0.6000196463654224
19,"[452, -22, 243, 319]",0.03,0.0,0.04,0.14,0.55,0.0,0.24,0.6333540711635014
20,"[469, -12, 229, 294]",0.0,0.0,0.02,0.52,0.14,0.0,0.32,0.6666884959615804
21,"[484, 3, 216, 284]",0.0,0.0,0.04,0.4,0.19,0.0,0.37,0.7000229207596594
