angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"[6, 67, 127, 177]",0.0,0.22,0.05,0.09,0.6,0.02
0.07,"[25, 66, 128, 175]",0.0,0.3,0.03,0.11,0.47,0.02
0.07,"[42, 66, 131, 176]",0.0,0.28,0.03,0.08,0.53,0.01
0.11,"[51, 63, 130, 186]",0.0,0.35,0.1,0.09,0.33,0.02
0.21,"[57, 63, 123, 175]",0.0,0.22,0.27,0.08,0.21,0.01
0.19,"[58, 33, 139, 206]",0.0,0.28,0.08,0.27,0.16,0.02
0.09,"[64, 46, 139, 205]",0.0,0.21,0.07,0.07,0.55,0.01
0.44,"[73, 56, 121, 179]",0.0,0.22,0.08,0.06,0.18,0.01
0.45,"[65, 34, 137, 199]",0.0,0.22,0.13,0.07,0.1,0.03
0.58,"[55, 37, 130, 192]",0.0,0.16,0.13,0.03,0.09,0.01
0.14,"[49, 40, 124, 182]",0.01,0.09,0.57,0.1,0.07,0.02
0.11,"[30, 29, 134, 196]",0.0,0.19,0.38,0.16,0.13,0.03
0.15,"[19, 24, 138, 200]",0.0,0.23,0.33,0.13,0.11,0.04
0.07,"[13, 24, 134, 199]",0.0,0.2,0.44,0.13,0.09,0.08
0.03,"[0, 11, 132, 198]",0.0,0.06,0.52,0.15,0.11,0.13
0.07,"[141, 0, 92, 77]",0.0,0.04,0.03,0.49,0.37,0.0
0.05,"[145, 0, 89, 78]",0.0,0.06,0.02,0.32,0.54,0.01
0.13,"[148, 0, 88, 79]",0.0,0.14,0.01,0.28,0.45,0.01
0.1,"[152, 0, 88, 80]",0.0,0.2,0.0,0.18,0.51,0.0
0.11,"[157, 0, 88, 84]",0.0,0.19,0.0,0.14,0.55,0.0
0.12,"[164, 0, 84, 84]",0.0,0.16,0.01,0.31,0.39,0.01
0.05,"[163, 0, 87, 87]",0.0,0.12,0.0,0.52,0.3,0.01
0.04,"[163, 0, 88, 91]",0.0,0.05,0.0,0.64,0.26,0.0
0.05,"[163, 0, 90, 93]",0.0,0.08,0.0,0.63,0.22,0.01
0.06,"[165, 0, 89, 96]",0.0,0.11,0.0,0.59,0.23,0.01
0.08,"[171, 0, 85, 97]",0.0,0.11,0.0,0.47,0.35,0.0
0.07,"[173, 0, 85, 101]",0.0,0.12,0.0,0.42,0.39,0.0
0.08,"[175, 0, 85, 102]",0.0,0.07,0.0,0.49,0.36,0.0
0.08,"[175, 0, 86, 104]",0.0,0.05,0.0,0.47,0.4,0.0
0.07,"[176, 0, 84, 106]",0.0,0.05,0.0,0.57,0.3,0.0
0.07,"[177, 0, 85, 107]",0.0,0.06,0.0,0.48,0.39,0.0
0.08,"[179, 0, 85, 108]",0.0,0.06,0.0,0.47,0.39,0.0
0.07,"[182, 0, 84, 109]",0.0,0.1,0.0,0.31,0.52,0.0
0.07,"[182, 0, 86, 110]",0.0,0.11,0.0,0.32,0.49,0.0
0.07,"[182, 0, 87, 114]",0.0,0.1,0.0,0.28,0.54,0.0
0.08,"[185, 0, 85, 114]",0.0,0.11,0.0,0.35,0.46,0.0
0.09,"[187, 0, 84, 114]",0.0,0.06,0.0,0.47,0.39,0.0
0.08,"[190, 1, 84, 116]",0.0,0.06,0.0,0.46,0.41,0.0
0.04,"[195, 9, 81, 108]",0.0,0.16,0.0,0.28,0.52,0.0
0.05,"[194, 5, 82, 111]",0.0,0.15,0.02,0.44,0.34,0.01
0.02,"[197, 9, 88, 113]",0.0,0.06,0.01,0.54,0.36,0.01
0.03,"[208, 15, 81, 110]",0.0,0.14,0.0,0.45,0.37,0.0
0.03,"[209, 13, 84, 115]",0.0,0.13,0.0,0.51,0.32,0.0
0.03,"[214, 15, 85, 114]",0.0,0.08,0.0,0.55,0.33,0.0
0.03,"[218, 14, 83, 112]",0.0,0.07,0.0,0.65,0.25,0.0
0.03,"[221, 15, 84, 113]",0.0,0.04,0.0,0.62,0.3,0.0
0.04,"[227, 17, 82, 111]",0.0,0.05,0.0,0.68,0.23,0.0
0.02,"[229, 16, 83, 114]",0.0,0.08,0.0,0.64,0.26,0.0
0.01,"[232, 16, 85, 112]",0.0,0.07,0.0,0.72,0.2,0.0
0.01,"[236, 14, 85, 113]",0.0,0.04,0.0,0.77,0.17,0.0
0.01,"[241, 14, 84, 115]",0.0,0.08,0.0,0.67,0.24,0.0
0.02,"[244, 15, 85, 114]",0.0,0.07,0.0,0.69,0.22,0.0
0.02,"[246, 12, 87, 118]",0.0,0.1,0.0,0.54,0.33,0.0
0.02,"[251, 13, 86, 116]",0.0,0.08,0.0,0.62,0.28,0.0
0.01,"[254, 12, 86, 115]",0.0,0.06,0.0,0.72,0.21,0.0
0.01,"[257, 12, 86, 115]",0.0,0.07,0.0,0.66,0.25,0.0
0.01,"[260, 13, 85, 114]",0.0,0.05,0.0,0.73,0.2,0.0
0.01,"[262, 11, 87, 116]",0.0,0.06,0.0,0.63,0.3,0.0
0.01,"[265, 10, 87, 118]",0.0,0.08,0.0,0.55,0.36,0.0
0.03,"[266, 10, 88, 119]",0.0,0.1,0.0,0.49,0.38,0.0
0.02,"[269, 10, 87, 120]",0.0,0.09,0.0,0.49,0.39,0.0
0.01,"[271, 9, 88, 118]",0.0,0.1,0.0,0.59,0.29,0.0
0.01,"[272, 11, 88, 117]",0.0,0.06,0.0,0.66,0.26,0.0
0.01,"[274, 12, 88, 116]",0.0,0.09,0.0,0.58,0.32,0.0
0.02,"[275, 12, 89, 118]",0.0,0.11,0.0,0.54,0.33,0.0
0.03,"[277, 12, 89, 119]",0.0,0.09,0.0,0.52,0.36,0.0
0.02,"[279, 13, 87, 116]",0.0,0.08,0.0,0.61,0.28,0.0
0.02,"[281, 13, 88, 119]",0.0,0.09,0.0,0.61,0.28,0.0
0.02,"[285, 12, 88, 119]",0.0,0.1,0.0,0.59,0.3,0.0
0.01,"[289, 10, 89, 118]",0.0,0.07,0.0,0.65,0.26,0.0
0.01,"[291, 10, 88, 119]",0.0,0.06,0.0,0.63,0.3,0.0
0.02,"[291, 11, 89, 120]",0.0,0.07,0.0,0.53,0.38,0.0
0.02,"[293, 11, 89, 121]",0.0,0.11,0.0,0.51,0.36,0.0
0.02,"[294, 10, 89, 121]",0.0,0.1,0.0,0.55,0.33,0.0
0.02,"[299, 9, 89, 121]",0.0,0.11,0.0,0.43,0.44,0.0
0.02,"[299, 10, 90, 120]",0.0,0.09,0.0,0.48,0.4,0.0
0.02,"[300, 9, 90, 121]",0.0,0.11,0.0,0.48,0.39,0.0
0.01,"[302, 11, 88, 117]",0.0,0.08,0.0,0.66,0.25,0.0
0.02,"[302, 9, 90, 120]",0.0,0.1,0.0,0.55,0.33,0.0
